,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
191,KODEX 인버스,"3,880",110,2.92%,0,"11,015","283,900",2.66,"80,210,933",N/A,N/A
192,대한전선,"1,285",30,-2.28%,500,"11,006","856,473",1.75,"41,204,386",-71.39,-3.99
193,코스맥스,"109,500","2,500",-2.23%,500,"11,004","10,050",24.74,"195,113",27.1,10.45
194,JB금융지주,"5,580",20,-0.36%,"5,000","10,992","196,983",39.51,"442,254",3.18,10.36
195,S&T모티브,"74,700","2,300",-2.99%,"5,000","10,923","14,623",26.65,"188,852",17.53,0.33
196,한미반도체,"21,050",300,1.45%,200,"10,841","51,502",5.28,"721,193",24.62,8.85
197,DL,"70,100","4,500",-6.03%,"5,000","10,824","15,441",100,"916,239",3.71,11.74
198,동원시스템즈,"41,550",450,-1.07%,"5,000","10,644","25,619",1.7,"189,847",23.61,8.69
199,LG상사,"27,200",550,-1.98%,"5,000","10,543","38,760",22.58,"419,890",7.41,2.49
200,CJ CGV,"29,800",150,-0.50%,500,"10,460","35,100",5.77,"546,267",-1.61,-57.6
